sheet,error_code,row_data
七碼定義Definition,1,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,2,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,3,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,4,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,5,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,6,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,7,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,9,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,10,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
七碼定義Definition,11,"{'和碩聯合科技(股)公司 PEGATRON CORP. ': 1, 'Unnamed: 1': 2, 'Unnamed: 2': 3, 'Unnamed: 3': 4, 'Unnamed: 4': 5, 'Unnamed: 5': 6, 'Unnamed: 6': 7, 'Unnamed: 7': '-', 'Unnamed: 8': 9, 'Unnamed: 9': 10, 'Unnamed: 10': 11}"
Version History,20170223,"{'Version': 'V1.0', 'Release Date': 20170223, 'Describe': 'First Release'}"
Version History,20170308,"{'Version': 'V1.1', 'Release Date': 20170308, 'Describe': '1.Add WIFI RX PER Error Code\n2.Move WIFI TX/RX Item'}"
Version History,20170418,"{'Version': 'V1.2', 'Release Date': 20170418, 'Describe': '1.Insert BRPW013~14 for voltage test item\n2.Add FWUR017 for UART Loop Back Fail\n3.Add BRPW022 for Measure_1.125V\n4.Add BRPW023 for Measure_1.26V\n5.Add BRPW024 for Voltage test point over the criteria\n6.Format Adjust'}"
Version History,20170424,"{'Version': 'V1.3', 'Release Date': 20170424, 'Describe': '1.Format Adjust'}"
Version History,20170426,"{'Version': 'V1.4', 'Release Date': 20170426, 'Describe': '1.Modify version Information\n2.Added new error code as below\nIOET148~IOET152'}"
Version History,20170428,"{'Version': 'V1.5', 'Release Date': 20170428, 'Describe': '1.Added Note column for record applicant\n2.Added new item as blue markers '}"
Version History,20170704,"{'Version': 'V1.6', 'Release Date': 20170704, 'Describe': '1.Added new item as blue markers '}"
Version History,20170710,"{'Version': 'V1.7', 'Release Date': 20170710, 'Describe': '1.Added new item as blue markers '}"
