File,Section,Key,Value,Type,Comments
Global.ini,Settings,PCIP_1,192.168.11.3,Network,
Global.ini,Settings,DUTIP_1,192.168.11.143,Network,
Global.ini,Settings,DUT_UR1,COM4,Other,
Global.ini,Settings,PCUART_fixture,COM5,Other,
Global.ini,Settings,DUT_Login,root,Other,
Global.ini,Settings,LOAD_1,true,Other,
Global.ini,Settings,LOAD_2,false,Other,
Global.ini,Settings,LOAD_3,false,Other,
Global.ini,Settings,LOAD_4,false,Other,
Global.ini,Settings,DEVID_1,125335,Other,
Global.ini,Settings,DEVID_2,825201,Other,
Global.ini,Settings,DEVID_3,825201,Other,
Global.ini,Settings,DEVID_4,517864,Other,
Global.ini,Settings,NI6008_DEV1,Dev1,Other,
Global.ini,Settings,NI6008_DEV2,Dev2,Other,
Global.ini,Settings,DAQ_1,Dev1,Other,
Global.ini,Settings,DAQ_2,Dev2,Other,
Global.ini,Settings,LED_Light1,01,Other,
Global.ini,Settings,LED_AZ1,COM3,Other,
Global.ini,Scripts,Product_SKU,R110,Other,
Global.ini,Scripts,MFG_WIFI_MB,version 18.35.387.23.108,Other,
Global.ini,Scripts,FW_VERSION,0.5.4.38.0_715bae2,Feature_Flag,
Global.ini,Scripts,sfisSKU,N3C2401C,Other,
Global.ini,Scripts,VALO360_ALL_MODEL,@69-2E224C20P02||@69-2E224C30P01||@69-2E224C23P02||@N3C2401C||@N3C2401NB||@N3C2401W||@69-2E224624P02,Device_Info,
Global.ini,Scripts,VALO360_5G,@69-2E224C20P02||@N3C2401C,Other,
Global.ini,Scripts,VALO360_NObattery,@69-2E224C30P01||@N3C2401NB,Other,
Global.ini,Scripts,VALO360_WIFI,@69-2E224C23P02||@N3C2401W||@69-2E224624P02,Other,
Global.ini,Scripts,SIM1,466977004990154,Other,
Global.ini,Scripts,SIM2,466977004990155,Other,
Global.ini,Scripts,SIM3,466977004933066,Other,
Global.ini,Scripts,DUTIP_1,192.168.11.143,Network,
Global.ini,Scripts,Check _ANT8,SDX65_131_SIM8380G-M2-HS_B3J2W550_QTM545_838_900_P1.03_20250103,Other,
Global.ini,Scripts,Check _ANT9,SDX65_LE131_M2_M44_PCIE_HS_V1.05_250121,Other,
System.ini,Settings,PCIP_1,192.168.11.3,Network,
System.ini,Settings,DUTIP_1,192.168.11.143,Network,
