File,Section,Key,Value,Type,Comments
Global.ini,Settings,PCIP_1,192.168.11.3,Network,
Global.ini,Settings,DUTIP_1,192.168.11.143,Network,
Global.ini,Scripts,FW_VERSION,0.5.4.38.0_715bae2,Feature_Flag,
Global.ini,Scripts,VALO360_ALL_MODEL,@69-2E224C20P02||@69-2E224C30P01||@69-2E224C23P02||@N3C2401C||@N3C2401NB||@N3C2401W||@69-2E224624P02,Device_Info,
Global.ini,Scripts,DUTIP_1,192.168.11.143,Network,
System.ini,Settings,PCIP_1,192.168.11.3,Network,
System.ini,Settings,DUTIP_1,192.168.11.143,Network,
System.ini,Scripts,FW_VERSION,0.5.4.38.0_715bae2,Feature_Flag,
System.ini,Scripts,VALO360_ALL_MODEL,@69-2E224C20P02||@69-2E224C30P01||@69-2E224C23P02||@N3C2401C||@N3C2401NB||@N3C2401W||@69-2E224624P02,Device_Info,
System.ini,Scripts,DUTIP_1,192.168.11.143,Network,
System.ini,System,DUTFlowDirection,0,Feature_Flag,
System.ini,System,NewFormatScriptFile,VALO360_TestFlow_20250324_MB_ER.xlsx,Network,
System.ini,System,StationList,"MB,TEMP",Feature_Flag,
System.ini,System,StationName,MB,Feature_Flag,
System.ini,System,DontLogRef,1,Feature_Flag,
System.ini,System,DontConvertErrorCode,0,Feature_Flag,
System.ini,IpFinder,IpFinder_Enable,0,Network,
System.ini,IpFinder,IpFinder_LocalIP,192.168.102.111,Network,
System.ini,IpFinder,IpFinder_Segment,192.168.102,Network,
System.ini,IpFinder,IpFinder_LastNoStart,25,Network,
System.ini,IpFinder,IpFinder_LastNoEnd,30,Network,
System.ini,IpFinder,IpFinder_SaveDebugLog,1,Network,
System.ini,iPLAS,iPLAS_Enable,1,Network,
System.ini,iPLAS,iPLAS_DebugMsg,1,Network,
System.ini,iPLAS,iPLAS_ProjectName,VALO360,Network,
System.ini,iPLAS,iPLAS_ScanDirectories,Log;Report;Record;Debug,Network,
System.ini,iPLAS,iPLAS_UploadPassLog,1,Network,
System.ini,iPLAS,iPLAS_UploadFailLog,1,Network,
System.ini,iPLAS,iPLAS_UploadValidInSeconds,600,Network,
System.ini,iPLAS,iPLAS_UploadFileTypes,log;ini;ct;bmp;csv;wav;ct;txt,Network,
System.ini,iPLAS,iPLAS_UploadDebugFile,1,Network,
System.ini,iPLAS,iPLAS_UploadMatchISN,1,Network,
System.ini,iPLAS,iPLAS_Site,DC,Network,
System.ini,iPLAS,iPLAS_EncryptedZip,,Network,
System.ini,iPLAS,iPLAS_SkipErrorCode,BSFO14;BSFO75;OTCH013,Network,
System.ini,SFIS,SFIS_Enable,1,Feature_Flag,
System.ini,SFIS,SFIS_LinkIPLAS,1,Network,
System.ini,SFIS,SFIS_RepairEnable,1,Feature_Flag,
System.ini,SFIS,SFIS_RepairReason,ZR,Feature_Flag,
System.ini,SFIS,SFIS_SkipSaveResultOnFail,0,Network,
System.ini,SFIS,SFIS_BreakGoName,,Feature_Flag,
System.ini,FTP,FTP_Enable,0,Feature_Flag,
System.ini,FTP,FTP_Host,172.24.255.135,Network,
System.ini,MiniCloud,MiniCloud_Enable,1,Feature_Flag,
System.ini,MiniCloud,MiniCloud_Host,172.22.248.50,Network,
System.ini,MiniCloud,MiniCloud_ProjectName,VALO360,Device_Info,
System.ini,MiniCloud,MiniCloud_ModelName,VALO360_5G,Device_Info,
System.ini,MiniCloud,MiniCloud_iPLAS,0,Network,
System.ini,MiniCloud,MiniCloud_iPLASLogPath,,Network,
System.ini,MiniCloud,MiniCloud_iPLASProjectName,VALO360,Network,
