version,file_path,file_size,modified_date,file_type
20210506,Centimani INI file setting(20210506).xlsx,22974,2024-04-25 16:05:00,.xlsx
202105,Centimani INI file setting(20210506).xlsx,22974,2024-04-25 16:05:00,.xlsx
20230104,Centimani instrument parameter -Ver1.65 (20230104).xlsx,209255,2024-06-25 16:41:28,.xlsx
202301,Centimani instrument parameter -Ver1.65 (20230104).xlsx,209255,2024-06-25 16:41:28,.xlsx
20223010,Centimani Script User Guide(202230104).xlsx,37274,2024-04-25 16:05:00,.xlsx
202230,Centimani Script User Guide(202230104).xlsx,37274,2024-04-25 16:05:00,.xlsx
2.00,Test Item Code V2.00_20241106.xlsx,368912,2025-08-11 10:31:49,.xlsx
20241106,Test Item Code V2.00_20241106.xlsx,368912,2025-08-11 10:31:49,.xlsx
202411,Test Item Code V2.00_20241106.xlsx,368912,2025-08-11 10:31:49,.xlsx
20250414,scripe_EXCEL\KANGAROO\Kangaroo_DWeSIMandFWUP_MultiDUT_TestFlow-20250414.xlsx,35553,2025-04-29 15:24:00,.xlsx
202504,scripe_EXCEL\KANGAROO\Kangaroo_DWeSIMandFWUP_MultiDUT_TestFlow-20250414.xlsx,35553,2025-04-29 15:24:00,.xlsx
202504,scripe_EXCEL\KANGAROO\Pega_Kangaroo_TestFlow-Final Check_MP_20250415_CBNGSIMSLOT1.xlsx,235161,2025-04-21 12:30:00,.xlsx
202504,scripe_EXCEL\KANGAROO\Pega_Kangaroo_TestFlow-OQC_MP_20250415_CBNGSIMSLOT1.xlsx,212869,2025-04-15 10:27:14,.xlsx
202504,scripe_EXCEL\KANGAROO\Pega_Kangaroo_TestFlow-WIFI&BT_CAL&VERIF_MP_20250421.XLSX,120316,2025-04-21 17:13:04,.XLSX
202504,scripe_EXCEL\KANGAROO\Pega_Kangaroo_TestFlow-WIFIOTA_MP_20250419_ForFWUpgrade.XLSX,132887,2025-04-21 12:30:00,.XLSX
202504,scripe_EXCEL\KANGAROO\Pega_Kangaroo_TestFlow_MP_FWdownload_20250410-RecordUSBInfo.xlsx,270227,2025-04-21 12:30:00,.xlsx
202504,scripe_EXCEL\VALO360\VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx,3036102,2025-04-22 16:48:49,.xlsx
202504,scripe_EXCEL\VALO360\VALO360_ER2 OQC Function Check List_20250418.xlsx,1563088,2025-04-18 10:46:00,.xlsx
202504,scripe_EXCEL\VALO360\VALO360_TestFlow_20250407_Function.xlsx,157331,2025-04-10 17:25:02,.xlsx
20250326,scripe_EXCEL\KANGAROO\Kangaroo_MP_AIR_TestFlow_20250326C.xlsx,38438,2025-04-21 12:30:00,.xlsx
20250326,scripe_EXCEL\VALO360\VALO360_TestFlow_20250326_Final.xlsx,67981,2025-03-27 16:17:44,.xlsx
20250326,scripe_EXCEL\VALO360\VALO360_TestFlow_20250326_IMU.xlsx,47553,2025-04-10 10:38:40,.xlsx
202503,scripe_EXCEL\KANGAROO\Kangaroo_MP_AIR_TestFlow_20250326C.xlsx,38438,2025-04-21 12:30:00,.xlsx
202503,scripe_EXCEL\KANGAROO\Test Item Code V2.04_20250310.xlsx,393226,2025-04-21 12:30:00,.xlsx
202503,scripe_EXCEL\VALO360\Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx,132266,2025-03-07 10:28:18,.xlsx
202503,scripe_EXCEL\VALO360\VALO360_TestFlow_20250307_POE.xlsx,85406,2025-03-14 15:30:30,.xlsx
202503,scripe_EXCEL\VALO360\VALO360_TestFlow_20250318_MB_ER2.xlsx,75557,2025-03-19 15:22:40,.xlsx
202503,scripe_EXCEL\VALO360\VALO360_TestFlow_20250326_Final.xlsx,67981,2025-03-27 16:17:44,.xlsx
202503,scripe_EXCEL\VALO360\VALO360_TestFlow_20250326_IMU.xlsx,47553,2025-04-10 10:38:40,.xlsx
