ISN,#Status,#ErrorMessage,#DateTime,#TestTime,#DeviceID,008:Open  Commnad Line,010:flash_firmware_checkDMpor,013:flash_firmware_checkDMpor,017:Check Login,018:Login Linux_root,019:Login Linux_PW,020:Check BOOT Status,022:Check PCIE MODE
UL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
LL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
AVG,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MIN,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MAX,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
STD,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpU,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
Cpk,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
'345,PASS,PASS,2025-07-29_15-21-48,247,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_15-38-48,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_15-43-20,268,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_15-47-31,248,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_15-52-02,268,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_15-56-32,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_16-01-03,268,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-29_16-05-35,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
